episode,team1_win_rate_vs_random,random_win_rate
100,0.33999999999999997,0.43000000000000005
200,0.29,0.4
300,0.35,0.41000000000000003
400,0.32,0.33
500,0.30000000000000004,0.38
600,0.35,0.3
700,0.31,0.33999999999999997
800,0.32999999999999996,0.39
900,0.39,0.39
1000,0.37,0.44999999999999996
1100,0.29000000000000004,0.44
1200,0.4,0.25
1300,0.28,0.47
1400,0.3,0.32
1500,0.38,0.28
1600,0.36,0.38
1700,0.35,0.32999999999999996
1800,0.41000000000000003,0.25
1900,0.36,0.33999999999999997
2000,0.36,0.28
2100,0.37,0.31000000000000005
2200,0.38,0.23
2300,0.37,0.29000000000000004
2400,0.38,0.35
2500,0.41000000000000003,0.33999999999999997
2600,0.39,0.29000000000000004
2700,0.39,0.32
2800,0.38,0.29
2900,0.41000000000000003,0.29000000000000004
