episode,team1_win_rate_vs_random,random_win_rate
100,0.37,0.32
200,0.49,0.28
300,0.41000000000000003,0.31
400,0.35,0.37
500,0.34,0.35
600,0.37,0.27
700,0.39,0.31
800,0.36,0.39
900,0.36,0.31000000000000005
1000,0.4,0.32
1100,0.44,0.27
1200,0.30000000000000004,0.32
1300,0.3,0.33
1400,0.42000000000000004,0.27
1500,0.43000000000000005,0.26
1600,0.39,0.28
1700,0.46,0.24
1800,0.52,0.26
1900,0.39,0.28
2000,0.41000000000000003,0.28
2100,0.41000000000000003,0.26
2200,0.49,0.21000000000000002
2300,0.42000000000000004,0.2
2400,0.4,0.29000000000000004
2500,0.48,0.17
2600,0.53,0.2
2700,0.54,0.16999999999999998
2800,0.52,0.26
2900,0.48000000000000004,0.23
